Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C18,C4,C47,C6,C63,C8",C0603,C14663,7
10k,"R1,R10,R11,R13,R15,R2,R26,R28,R29,R3,R32,R34,R35,R38,R4,R40,R41,R44,R45,R46,R47,R48,R49,R8",R0603,C25804,24
10n,"C3,C35,C36,C38,C39,C41,C42,C44,C45,C46,C88",C0603,C57112,11
10u,"C10,C12,C2,C43,C5",C0805,C440198,5
15Ω,R20,R0603,C22810,1
220p COG,"C11,C13",C0603,C27675,2
220Ω,"R16,R6",R0603,C22962,2
2700p COG,"C15,C17",C0603,C77034,2
3.3u,"C14,C16",C0805,C38332,2
4.99k,"R7,R9",R0603,C23046,2
470Ω,R5,R0603,C23179,1
47u,"C7,C9",C1206,C96123,2
47Ω,"R17,R18,R19",R0603,C23182,3
590,"R12,R14",R0603,C3016268,2
ASFL1-12.288MHZ-LCS-T,Q1,ASF,C276419,1
BLUE,D2,CHIPLED_0603_NOOUTLINE,C2290,1
CS4270,U1,TSSOP24,C1323229,1
FERRITE,L3,L0805,C74764,1
HCPL-0631-500E,U2,SSOP-8_3.9x5.05mm_P1.27mm,C43949,1
RED,D1,CHIPLED_0603_NOOUTLINE,C2286,1
TPS793475DBVR,U11,SSOP5,C354516,1
