Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C0603,137.301821,-94.94131,180.0,bottom
C10,10u,C0805,127.156299,-99.947196,270.0,bottom
C11,220p COG,C0603,129.165092,-99.965693,270.0,bottom
C12,10u,C0805,127.14349,-103.895888,90.0,bottom
C13,220p COG,C0603,129.129723,-103.744976,90.0,bottom
C14,3.3u,C0805,127.47901,-87.098795,270.0,bottom
C15,2700p COG,C0603,124.616299,-84.707196,180.0,bottom
C16,3.3u,C0805,127.473799,-91.057196,90.0,bottom
C17,2700p COG,C0603,124.616299,-93.597196,180.0,bottom
C18,100n,C0603,185.617867,-110.129127,0.0,bottom
C2,10u,C0805,137.333754,-92.897661,180.0,bottom
C3,10n,C0603,146.523799,-95.502196,270.0,bottom
C35,10n,C0603,99.735176,-93.674049,90.0,bottom
C36,10n,C0603,109.73877,-93.688988,90.0,bottom
C38,10n,C0603,186.04994,-103.058692,270.0,bottom
C39,10n,C0603,196.164959,-103.052256,270.0,bottom
C4,100n,C0603,133.506299,-105.027196,0.0,bottom
C41,10n,C0603,165.576567,-102.972605,270.0,bottom
C42,10n,C0603,175.506953,-103.005487,270.0,bottom
C43,10u,C0805,135.71151,-87.907928,180.0,bottom
C44,10n,C0603,93.739259,-93.648909,90.0,bottom
C45,10n,C0603,181.523244,-123.801842,0.0,bottom
C46,10n,C0603,187.833412,-123.852122,180.0,bottom
C47,100n,C0603,133.506299,-90.104696,0.0,bottom
C5,10u,C0805,133.472706,-107.059485,0.0,bottom
C6,100n,C0603,137.316299,-105.027196,180.0,bottom
C63,100n,C0603,141.241582,-82.212046,180.0,bottom
C7,47u,C1206,138.007072,-107.059485,180.0,bottom
C8,100n,C0603,133.489877,-94.975201,0.0,bottom
C88,10n,C0603,143.914781,-85.142998,90.0,bottom
C9,47u,C1206,132.80557,-92.956493,0.0,bottom
D1,RED,CHIPLED_0603_NOOUTLINE,173.377812,-137.687216,180.0,bottom
D2,BLUE,CHIPLED_0603_NOOUTLINE,177.515241,-137.687216,180.0,bottom
L3,FERRITE,L0805,135.651771,-84.204101,180.0,bottom
Q1,ASFL1-12.288MHZ-LCS-T,ASF,143.031299,-95.502196,270.0,bottom
R1,10k,R0603,143.031299,-91.692196,180.0,bottom
R10,10k,R0603,124.608689,-105.109816,0.0,bottom
R11,10k,R0603,125.499534,-87.251063,90.0,bottom
R12,590,R0603,123.496633,-87.251063,90.0,bottom
R13,10k,R0603,125.492908,-91.055238,270.0,bottom
R14,590,R0603,123.524087,-91.055238,270.0,bottom
R15,10k,R0603,134.776299,-110.107196,180.0,bottom
R16,220Ω,R0603,189.566637,-110.142716,180.0,bottom
R17,47Ω,R0603,179.98354,-137.571176,90.0,bottom
R18,47Ω,R0603,190.3851,-137.54801,90.0,bottom
R19,47Ω,R0603,171.408742,-137.227766,90.0,bottom
R2,10k,R0603,105.756618,-93.688988,270.0,bottom
R20,15Ω,R0603,175.21561,-137.052738,90.0,bottom
R26,10k,R0603,107.747694,-93.688988,270.0,bottom
R28,10k,R0603,101.746385,-93.686619,270.0,bottom
R29,10k,R0603,103.765542,-93.688988,270.0,bottom
R3,10k,R0603,192.106996,-103.064442,90.0,bottom
R32,10k,R0603,194.129885,-103.064442,90.0,bottom
R34,10k,R0603,188.072828,-103.058692,90.0,bottom
R35,10k,R0603,190.096484,-103.064786,90.0,bottom
R38,10k,R0603,173.534028,-102.989046,90.0,bottom
R4,10k,R0603,171.561104,-102.989046,90.0,bottom
R40,10k,R0603,167.565933,-102.972605,90.0,bottom
R41,10k,R0603,169.563176,-102.977539,90.0,bottom
R44,10k,R0603,97.736537,-93.661479,90.0,bottom
R45,10k,R0603,95.750468,-93.648909,270.0,bottom
R46,10k,R0603,181.523244,-127.811689,0.0,bottom
R47,10k,R0603,181.516959,-125.806766,180.0,bottom
R48,10k,R0603,187.833412,-127.86197,180.0,bottom
R49,10k,R0603,187.83752,-125.855705,0.0,bottom
R5,470Ω,R0603,181.029344,-113.491203,90.0,bottom
R6,220Ω,R0603,192.899526,-110.142716,180.0,bottom
R7,4.99k,R0603,124.616299,-98.994696,0.0,bottom
R8,10k,R0603,124.608689,-100.96655,0.0,bottom
R9,4.99k,R0603,124.616299,-103.122196,0.0,bottom
U1,CS4270,TSSOP24,135.411299,-99.947196,270.0,bottom
U11,TPS793475DBVR,SSOP5,141.191519,-85.156372,180.0,bottom
U2,HCPL-0631-500E,SSOP-8_3.9x5.05mm_P1.27mm,189.643221,-114.532556,0.0,bottom
